gvkey,conm,suggested_ticker,yahoo_score
324138,MOBILICOM LTD,MOBBW,20001.0
039498,MSC INCOME FUND INC,MSIF,20002.0
060747,NASUS PHARMA LTD,NSRX,20001.0
074615,NAVAN INC,NAVN,20020.0
074430,NEPTUNE INSURANCE HLDNGS INC,ETHB,100002.0
074382,NETSKOPE INC,NTSK,20006.0
051314,NEWSMAX INC,NMAX,20001.0
317637,NEXXEN INTERNATIONAL LTD,7P91.F,20005.0
060793,NIQ GLOBAL INTELLIGENCE PLC,GD0.F,20005.0
050991,NOMADAR CORP,NOMA,20003.0
045796,NORTHPOINTE BANCSHARES INC,X31.F,20005.0
038977,ODYSIGHT.AI INC,Z40.F,20005.0
074746,OFF THE HOOK YS INC,OTH,20001.0
051803,OMADA HEALTH INC,OMDA,20006.0
013714,PARAMOUNT SKYDANCE CORP,PSKY,20022.0
074434,PARK DENTAL PARTNERS INC,PARK,20004.0
074383,PATTERN GROUP INC,PTRN,20006.0
040488,PICARD MEDICAL INC,PMI,20002.0
045539,PICOCELA INC -ADR,NGHT,100004.0
042894,PING AN BIOMEDICAL CO LTD,PASW,20003.0
051036,PITANIUM LTD,ZIM,22260.0
051705,PLATINUM ANALYTICS CYMAN LTD,PL=F,3001300.0
074813,QNITY ELECTRONICS INC,Q,20016.0
051921,RALLIANT CORP,RAL,20003.0
051668,REGENTIS BIOMATERIALS LTD,RGNT,20001.0
051058,RESOLUTE HOLDINGS MANAGEMENT,RHLD,20004.0
051165,RICH SPARKLE HOLDINGS LTD,ZR=F,30001.0
060856,RUBICO INC,RUBI,20008.0
050491,RYOJBABA CO LTD,RYOJ,20003.0
045768,SAILPOINT INC,SAIL,20009.0
051008,SANDISK CORP,SNDK,20289.0
181070,SANUWAVE HEALTH INC,SNWV,20004.0
060722,SHOULDER INNOVATIONS INC,SI,20001.0
045769,SIONNA THERAPEUTICS INC,SION,20003.0
050884,SKYCORP SOLAR GROUP LTD,PN,20003.0
045545,SKYLINE BUILDERS GRP HLD LTD,RSG=F,30001.0
051778,SLIDE INSURANCE HOLDINGS INC,ID8.F,20005.0
045538,SMART DIGITAL GROUP LTD,ZIM,22260.0
040692,SMARTSTOP SELF STORAGE R INC,D630.F,20005.0
045775,SMITHFIELD FOODS INC,SFD,20003.0
175315,SOL STRATEGIES INC,STKE,20003.0
074797,SOLSTICE ADVANCED MTRILS INC,ETHB,100002.0
033773,SS INNOVATIONS INTERNATI INC,N68.F,20005.0
050969,STAK INC,STAK,20003.0
051514,STARZ ENTERTAINMENT CORP,STRZ,20005.0
051380,STUBHUB HOLDINGS INC,STUB,20001.0
074927,SUNOCOCORP LLC,SUNC,20001.0
045655,TEN HOLDINGS INC,TENB,20015.0
369350,THE MAGNUM ICE CREAM CO,MICC.AS,20004.0
026083,TIANCI INTERNATIONAL INC,CIIT,20003.0
356859,TIC SOLUTIONS INC,TIC,20002.0
045751,TITAN AMERICA SA,IH9.F,20001.0
032589,TITAN MINING CORP,TII,20002.0
041214,TJGC GROUP LTD,ZIM,22260.0
045713,TMD ENERGY LTD,TMTBRX=X,30002.0
