gvkey,conm,ticker,industry,latest_observed_date,risk_horizon,pred_risk_2026
038662,SIMILARWEB LTD,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05802485533058643
041856,AMC ROBOTICS CORP -REDH,,,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.057740351371467116
035477,DECOY THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05665145553648472
017185,22ND CENTURY GROUP INC,,Tobacco,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05659959688782692
038624,TWIN VEE POWERCATS CO,,Transportation Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05649234410375357
038534,INNVENTURE INC,,Security Brokers & Dealers,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.0562449200078845
037938,GRI BIO INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.056243549287319186
020044,BGSF INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05607298351824284
020890,NOUVEAU MONDE GRAPHITE INC,,,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05601011477410793
036394,LANTERN PHARMA INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.055403531342744824
043859,HIGH ROLLER TECHNOLOGIES INC,,Amusement & Recreation,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.055367938429117206
032528,FUNKO INC,,Misc Manufacturing,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.055319206416606904
031805,MYOMO INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.0550394207239151
040672,KNIGHTSCOPE INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05477628000080585
032395,ADIAL PHARMACEUTICALS,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.054678240418434144
033749,BIONANO GENOMICS INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05384758785367012
027386,JELD-WEN HOLDING INC,,Lumber & Wood,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.0537613719701767
107637,NORTHERN DYNASTY MINERAL LTD,,Metal Mining,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05369573198258877
035779,TELA BIO INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05323790833353996
033698,NEURONETICS INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05323790833353996
028749,FULL HOUSE RESORTS INC,,Amusement & Recreation,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.053191230073571204
037937,ENERGY VAULT HOLDINGS INC,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05280344635248184
035648,APREA THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.052567233145236966
036512,VROOM INC,,Non-Depository Credit,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05248307315632701
039500,A.K.A. BRAND HOLD CORP,,Misc Retail,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05244773179292679
039821,BLUEJAY DIAGNOSTICS INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.052309523522853854
160809,BIO GREEN MED SOLUTION INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.052075624093413354
043928,TELOMIR PHARMACEUTICALS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05203107818961143
356257,BTQ TECHNOLOGIES CORP,,,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05198773120064289
016015,QUEST RESOURCE HOLDING CORP,,"Electric, Gas & Sanitary Services",2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05155655816197395
285313,BANCO SANTANDER BRASIL  -ADR,,Banks & Depository Institutions,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.051548903435468675
175299,DOLPHIN ENTERTAINMENT INC,,Engineering & Management Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05153878927230835
183860,AXE COMPUTE INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05126619478687644
036530,DOGWOOD THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.05034577772021294
027712,LIFEZONE METALS LTD,,Metal Mining,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.050270022824406624
166555,ALPHATEC HOLDINGS INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.050111384876072404
029251,KALVISTA PHARMACEUTICALS,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04992478806525469
038370,FALCON'S BEYOND GLOBAL INC,,Engineering & Management Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04961360953748226
004632,LISATA THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.049408152513206
189598,ALMONTY INDUSTRIES INC,,Metal Mining,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04932702472433448
160375,STEREOTAXIS INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.049167899414896965
039408,REZOLVE AI PLC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.0489782047457993
038065,PLAYBOY INC,,Apparel,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04847235456109047
034965,JUMIA TECHNOLOGIES AG,,Misc Retail,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04835773482918739
037825,SENSEI BIOTHERAPEU INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.048141203634440896
148470,RED ROBIN GOURMET BURGERS,,Eating & Drinking Places,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04800621196627617
016947,ACTINIUM PHARMACEUTICALS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04787314422428608
050509,INLIF LTD,,Industrial Machinery & Computers,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.047734780609607695
017485,DARIOHEALTH CORP,,Health Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04751801379024982
037534,REVIVA PHARMACEUTICALS HOLD,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04739198051393032
045388,INHIBRX BIOSCIENCES INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.047109192702919245
041076,SUNATION ENERGY INC,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.047004183009266856
038768,BEAUTY HEALTH CO (THE),,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04693150734528899
022116,SKYE BIOSCIENCE INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04667863640934229
042031,CYTOMED THERAPEUTICS LIMITED,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04666687529534101
018114,TECOGEN INC,,Industrial Machinery & Computers,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04665344941895455
039683,PYXIS ONCOLOGY INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04662085911259055
185195,VERA BRADLEY INC,,Leather,2026-01-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04642586503177881
065732,SONIDA SENIOR LIVING INC,,Social Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04635964259505272
039202,RAPID MICRO BIOSYSTEMS INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04633067026734352
038977,ODYSIGHT.AI INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.046084639220498505
334288,ASCENTAGE PHARMA GROUP,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04585731781553477
036915,LEONABIO INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04579995833337307
074382,NETSKOPE INC,,Business Services & Software,2026-01-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04547338018892333
037388,17 EDUCATION & TE -ADR,,Educational Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.045472943037748334
039185,TIGO ENERGY INC,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04544407818466425
322154,ALLARITY THERAPEUT INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04514169171452522
050297,SAFE PRO GROUP INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.044844855181872846
039294,SOPHIA GENETICS SA,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.044801817275583744
031764,BANK OF MARIN BANCORP,,Banks & Depository Institutions,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04479962652549148
036985,ELUTIA INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.044738246127963066
008213,ACCENDRA HEALTH INC,,Wholesale - Durable Goods,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04465348729863763
039564,GREENIDGE GENERATIN HOLD INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04452467113733292
282608,CELLECTIS SA,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.044511104188859466
039412,JET.AI INC,,Air Transportation,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04443165808916092
063531,MICROVISION INC,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04440660160034895
051314,NEWSMAX INC,,Telecommunications,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04431600647512823
007183,SOLUNA HOLDINGS INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04392544943839312
033550,WRAP TECHNOLOGIES,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04376734271645546
147183,COMSTOCK INC,,Petroleum Refining,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04357155133038759
039317,TRAEGER INC,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.043337061256170276
181070,SANUWAVE HEALTH INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.043200770171824845
024912,ACORN ENERGY INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04302475526928902
036641,RACKSPACE TECHNOLOGY INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.042926494032144547
050874,CURANEX PHARMACEUTICALS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04285636022686958
037354,MARAVAI LIFESCIENS HLDGS INC,,Engineering & Management Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.042556990124285224
023705,PAVMED INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04247524533420801
038018,SABLE OFFSHORE CORP,,Oil & Gas Extraction,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04222450805827975
040414,INNOVATIVE EYEWEAR INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04218606129288673
285556,VALNEVA SE,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.042157146707177164
128121,QUARTERHILL INC,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.041797323152422905
062169,LIFECORE BIOMEDL INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04159712090622634
035728,PHATHOM PHARMA INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.0414382092654705
004409,ENZON PHARMACEUTICALS -OLD,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04109156224876642
036979,LIVEWIRE GROUP INC,,Transportation Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04097514608874917
323476,INVENTIVA SA,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04090768592432141
111721,EAGLE BANCORP INC/MD,,Banks & Depository Institutions,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.040720746666193006
019154,TVARDI THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.040622562542557715
021841,COHERUS ONCOLOGY INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.04033411145210266
023818,EVOLENT HEALTH INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.0400445943698287
038418,THREDUP INC,,Misc Retail,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03990340307354927
020225,MINERVA NEUROSCIENCES INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.039900691621005534
010353,TEAM INC,,Engineering & Management Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03987550064921379
132525,UTSTARCOM HOLDINGS CORP,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03969993982464075
043026,FORTREA HOLDINGS INC,,Engineering & Management Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03942884970456362
031061,UROGEN PHARMA LTD,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03938767779618502
034746,CYCLERION THERAPEUTICS,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.0393404521048069
037782,UNITED HOMES GROUP INC,,Building Construction,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03926173970103264
037783,SEASTAR MEDICAL HOLDING CORP,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03917353497818112
060799,ACCELERANT HOLDINGS,,Insurance Agents,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.039144830172881485
039248,TEADS HOLDING CO,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03913218155503273
051497,HINGE HEALTH INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03911436579655856
320806,NOVONIX LTD,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03899512868374586
039621,BLACKSKY TECHNOLOGY INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.038933842442929745
042848,US GOLDMINING INC,,Metal Mining,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03878836706280708
037350,FORUM MARKETS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03873699139803648
028118,FOSSIL GROUP INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03870067540556192
165637,UR ENERGY INC,,Metal Mining,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03865636978298426
038621,WESTROCK COFFEE CO,,Food & Kindred Products,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03851474057883024
051747,VOYAGER TECHNOLOGIES INC,,Transportation Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03828941577812657
036481,BT BRANDS INC,,Eating & Drinking Places,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03813703767955303
039724,ARBE ROBOTICS LTD,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.037968821544200185
170728,DOLLY VARDEN SILVER CORP,,,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03778563512023538
060787,HEARTFLOW INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.0377399543998763
032365,SYNLOGIC INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.037701459228992464
023865,BABCOCK & WILCOX ENTERPRISES,,Industrial Machinery & Computers,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03749548364430666
038953,LATCH INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.037304180394858125
147868,BED BATH & BEYOND INC,,Misc Retail,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.037029781844466925
033725,DATAVAULT AI INC,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03678769171237946
037084,ALIGOS THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.036787164583802226
075031,LUMEXA IMAGING HOLDINGS INC,,Health Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03663340618368238
060758,FIREFLY AEROSPACE INC,,Transportation Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03653856877353974
051514,STARZ ENTERTAINMENT CORP,,Motion Pictures,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03652976512676105
074646,WEALTHFRONT CORP,,Security Brokers & Dealers,2026-01-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.036480555249727334
018533,HORIZON BANCORP INC,,Banks & Depository Institutions,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03647680077701807
035647,KORRO BIO INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03646265612915158
035946,EVOMMUNE INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03636446868476924
025904,ACLARIS THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03630730202421546
019988,MEDIWOUND LTD,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03624827610328794
018315,PRECIGEN INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03589986059814691
170430,SILO PHARMA INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03586751529946923
043279,BLOCKCHAIN DIGITAL INFRA INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.0358351887203753
038014,ROYALTY MANAGEMENT HOLD CORP,,Engineering & Management Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03575261384248733
036848,REVELATION BIOSCIENCES INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03556037927046418
039399,OMNIAB INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03555301809683442
324138,MOBILICOM LTD,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.035459204018115996
050302,AUREUS GREENWAY HOLDINGS INC,,Amusement & Recreation,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.035263612619019113
024720,WABASH NATIONAL CORP,,Transportation Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.035068308282643554
026335,DULUTH HOLDINGS INC,,Misc Retail,2026-01-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.034992006793618205
158563,CYTOKINETICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.0349744712933898
039618,TIVIC HEALTH SYSTEMS INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.034915119595825675
065937,SOLESENCE INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03490437635919079
022590,PALVELLA THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.034884460549801585
045320,SILVACO GROUP INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.034857935924083
041885,MDB CAPITAL HOLDINGS LLC,,Security Brokers & Dealers,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.034803920425474644
034420,MEDALIST DIVERSIFIED INC,,Holding & Investment Offices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03458299413323403
019149,ULTRAGENYX PHARMACEUTICAL,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03436999656260013
039991,INTENSITY THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03425942184403539
035808,VIRGIN GALACTIC HOLDINGS INC,,Transportation Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.034076709765940905
183322,THERAPEUTICSMD INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03392140762880445
184049,BLINK CHARGING CO,,Transportation Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03383483225479722
038357,AEVA TECHNOLOGIES INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.033718521054834125
065921,GOLDEN MINERALS CO,,Metal Mining,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.033717668429017064
351038,QUOIN PHARMACEUTICALS LTD,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.033552872575819494
045685,ANBIO BIOTECHNOLOGY,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.0335416222922504
038995,INDIE SEMICONDUCTOR INC,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03330519031733274
033081,GD CULTURE GROUP LTD,,Engineering & Management Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.033275457378476855
037105,SPRUCE BIOSCIENCES INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.0332630948163569
062057,WIDEPOINT CORP,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03315367642790079
039830,AIRSCULPT TECHNOLO INC,,Health Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03313137693330646
060791,WHITEFIBER INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03287814540672116
074496,ALLIANCE LAUNDRY HOLDING INC,,Industrial Machinery & Computers,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03280759536428377
028365,SENESTECH INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.032771142572164534
051803,OMADA HEALTH INC,,Health Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03267472715524491
061463,LEGENCE CORP,,,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.032635831407969815
039442,SPIRE GLOBAL INC,,Engineering & Management Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03256859090179205
051139,COREWEAVE INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03251849962689448
026528,EXAGEN INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.032468875590711835
074570,MAPLIGHT THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03239563722163439
045390,ACTUATE THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.032265468314290044
037925,SANA BIOTCHNOLOGY INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.0322265331633389
033810,LIQUIDIA CORP,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03220631198491901
050491,RYOJBABA CO LTD,,Health Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03210584977641702
035416,ANNOVIS BIO INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03209383273497224
036970,VERTICAL AEROSPACE LTD,,Transportation Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.031871247477829455
018019,ATLAS LITHIUM CORP,,Nonmetallic Minerals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03184367548674345
184077,CLEARPOINT NEURO INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03167582117021084
041687,DEFI DEVELOPMENT CORP,,Non-Depository Credit,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03165826350450516
160570,COMMERCIAL VEHICLE GROUP INC,,Transportation Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.031532988976687194
025472,LIFEMD INC,,Health Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.03142061997205019
