gvkey,conm,latest_observed_date,risk_window,pred_risk_next_12m
024782,PERRIGO CO PLC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0018261481
103487,SAP SE,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0018257597
222638,TIM S.A.,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0018255286
045169,GE VERNOVA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0018244323
150477,PRA GROUP INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0018236057
010983,RTX CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0018231336
117768,NVIDIA CORP,2026-01-31,Apr 2026 → Apr 2027 (approx),0.0018211658
022815,TRIMBLE INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0018177849
039048,FIRST ADVANTAGE CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0018171576
028034,CHUBB LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0018159689
004058,DOVER CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0018122947
174310,KBR INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0018116721
038768,BEAUTY HEALTH CO (THE),2025-12-31,Apr 2026 → Apr 2027 (approx),0.0018101127
029984,PROLOGIS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0018099698
005180,GSK PLC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0018068254
002884,LUMEN TECHNOLOGIES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0018030643
033133,ARCUS BIOSCIENCES INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0018020287
039676,IHS HOLDING LIMITED,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0017994103
038708,ZETA GLOBAL HOLDINGS CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.001799053
003107,CLEVELAND-CLIFFS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0017957713
039578,REDWIRE CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0017953234
029478,ATS CORP,2025-03-31,Apr 2026 → Apr 2027 (approx),0.0017945367
034919,TRADEWEB MARKETS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0017923615
061356,NOVANTA INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0017922131
005572,HELEN OF TROY LTD,2025-02-28,Apr 2026 → Apr 2027 (approx),0.0017920978
065084,CORECIVIC INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0017907755
013453,OPPENHEIMER HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0017880064
015343,MUELLER INDUSTRIES,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0017873768
003650,CUMMINS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0017856787
008099,FIRSTENERGY CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0017850575
001878,AUTODESK INC,2026-01-31,Apr 2026 → Apr 2027 (approx),0.0017845698
117141,ENTERPRISE FINL SERVICES CP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0017832392
018738,DOMINARI HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.001782125
045462,TEMPUS AI INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.001777486
036945,JFROG LTD,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0017773743
014960,LABCORP HOLDINGS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0017769429
178797,AMERICAN PUBLIC EDUCATION,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0017756264
008123,OLIN CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0017754346
032502,ANGI INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0017743262
003028,CHURCHILL DOWNS INC,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0017737781
017035,MERCURY GENERAL CORP,2025-12-31,Apr 2026 → Apr 2027 (approx),0.0017706411
